CROP,LATITUDE,LONGITUDE,YEAR,YIELD,GSL,CWD_fall,CWD_spring,CWD_summer,WW_fall,WW_spring,WW_summer,CDD_fall,CDD_spring,CDD_summer,CSDI_fall,CSDI_spring,CSDI_summer,WSDI_fall,WSDI_spring,WSDI_summer,CFD_fall,CFD_spring,CFD_summer,CSU_fall,CSU_spring,CSU_summer,T_PH_H2O,S_PH_H2O,AWC_CLASS
barley,46.25,-62.25,1987,59.1,192.0,5.0,7.0,4.0,4.0,6.0,2.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,23.0,0.0,1.0,0.0,5.0,4.5,4.8,3.0
oats,46.25,-62.25,1987,62.1,192.0,5.0,7.0,4.0,4.0,6.0,2.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,23.0,0.0,1.0,0.0,5.0,4.5,4.8,3.0
spring_wheat,46.25,-62.25,1987,52.2,192.0,5.0,7.0,4.0,4.0,6.0,2.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,23.0,0.0,1.0,0.0,5.0,4.5,4.8,3.0
winter_wheat,46.25,-62.25,1987,52.5,192.0,5.0,7.0,4.0,4.0,6.0,2.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,23.0,0.0,1.0,0.0,5.0,4.5,4.8,3.0
barley,46.25,-62.25,1988,55.7,199.0,6.0,8.0,4.0,10.0,8.0,3.0,9.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,1.0,2.0,9.0,4.5,4.8,3.0
oats,46.25,-62.25,1988,58.8,199.0,6.0,8.0,4.0,10.0,8.0,3.0,9.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,1.0,2.0,9.0,4.5,4.8,3.0
spring_wheat,46.25,-62.25,1988,46.1,199.0,6.0,8.0,4.0,10.0,8.0,3.0,9.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,1.0,2.0,9.0,4.5,4.8,3.0
winter_wheat,46.25,-62.25,1988,57.1,199.0,6.0,8.0,4.0,10.0,8.0,3.0,9.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,1.0,2.0,9.0,4.5,4.8,3.0
barley,46.25,-62.25,1989,68.7,203.0,9.0,4.0,7.0,11.0,4.0,1.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,38.0,0.0,0.0,0.0,3.0,4.5,4.8,3.0
oats,46.25,-62.25,1989,73.9,203.0,9.0,4.0,7.0,11.0,4.0,1.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,38.0,0.0,0.0,0.0,3.0,4.5,4.8,3.0
spring_wheat,46.25,-62.25,1989,53.7,203.0,9.0,4.0,7.0,11.0,4.0,1.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,38.0,0.0,0.0,0.0,3.0,4.5,4.8,3.0
winter_wheat,46.25,-62.25,1989,48.0,203.0,9.0,4.0,7.0,11.0,4.0,1.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,38.0,0.0,0.0,0.0,3.0,4.5,4.8,3.0
barley,46.25,-62.25,1990,50.6,203.0,5.0,5.0,12.0,9.0,1.0,1.0,8.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,52.0,0.0,1.0,0.0,2.0,4.5,4.8,3.0
oats,46.25,-62.25,1990,62.0,203.0,5.0,5.0,12.0,9.0,1.0,1.0,8.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,52.0,0.0,1.0,0.0,2.0,4.5,4.8,3.0
spring_wheat,46.25,-62.25,1990,46.4,203.0,5.0,5.0,12.0,9.0,1.0,1.0,8.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,52.0,0.0,1.0,0.0,2.0,4.5,4.8,3.0
winter_wheat,46.25,-62.25,1990,48.4,203.0,5.0,5.0,12.0,9.0,1.0,1.0,8.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,52.0,0.0,1.0,0.0,2.0,4.5,4.8,3.0
barley,46.25,-62.25,1991,54.3,197.0,9.0,7.0,5.0,10.0,2.0,0.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,46.0,0.0,1.0,0.0,3.0,4.5,4.8,3.0
fall_rye,46.25,-62.25,1991,33.9,197.0,9.0,7.0,5.0,10.0,2.0,0.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,46.0,0.0,1.0,0.0,3.0,4.5,4.8,3.0
oats,46.25,-62.25,1991,56.7,197.0,9.0,7.0,5.0,10.0,2.0,0.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,46.0,0.0,1.0,0.0,3.0,4.5,4.8,3.0
soybeans,46.25,-62.25,1991,36.6,197.0,9.0,7.0,5.0,10.0,2.0,0.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,46.0,0.0,1.0,0.0,3.0,4.5,4.8,3.0
spring_wheat,46.25,-62.25,1991,49.3,197.0,9.0,7.0,5.0,10.0,2.0,0.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,46.0,0.0,1.0,0.0,3.0,4.5,4.8,3.0
winter_wheat,46.25,-62.25,1991,52.6,197.0,9.0,7.0,5.0,10.0,2.0,0.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,46.0,0.0,1.0,0.0,3.0,4.5,4.8,3.0
barley,46.25,-62.25,1992,75.0,174.0,7.0,7.0,2.0,3.0,2.0,2.0,11.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,49.0,0.0,3.0,0.0,5.0,4.5,4.8,3.0
oats,46.25,-62.25,1992,82.5,174.0,7.0,7.0,2.0,3.0,2.0,2.0,11.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,49.0,0.0,3.0,0.0,5.0,4.5,4.8,3.0
soybeans,46.25,-62.25,1992,34.6,174.0,7.0,7.0,2.0,3.0,2.0,2.0,11.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,49.0,0.0,3.0,0.0,5.0,4.5,4.8,3.0
spring_wheat,46.25,-62.25,1992,67.7,174.0,7.0,7.0,2.0,3.0,2.0,2.0,11.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,49.0,0.0,3.0,0.0,5.0,4.5,4.8,3.0
winter_wheat,46.25,-62.25,1992,47.4,174.0,7.0,7.0,2.0,3.0,2.0,2.0,11.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,49.0,0.0,3.0,0.0,5.0,4.5,4.8,3.0
barley,46.25,-62.25,1993,52.0,199.0,9.0,5.0,4.0,7.0,5.0,1.0,7.0,10.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,40.0,0.0,0.0,1.0,4.0,4.5,4.8,3.0
oats,46.25,-62.25,1993,60.0,199.0,9.0,5.0,4.0,7.0,5.0,1.0,7.0,10.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,40.0,0.0,0.0,1.0,4.0,4.5,4.8,3.0
soybeans,46.25,-62.25,1993,32.0,199.0,9.0,5.0,4.0,7.0,5.0,1.0,7.0,10.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,40.0,0.0,0.0,1.0,4.0,4.5,4.8,3.0
spring_wheat,46.25,-62.25,1993,42.8,199.0,9.0,5.0,4.0,7.0,5.0,1.0,7.0,10.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,40.0,0.0,0.0,1.0,4.0,4.5,4.8,3.0
winter_wheat,46.25,-62.25,1993,38.7,199.0,9.0,5.0,4.0,7.0,5.0,1.0,7.0,10.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,40.0,0.0,0.0,1.0,4.0,4.5,4.8,3.0
barley,46.25,-62.25,1994,53.2,207.0,6.0,5.0,4.0,4.0,7.0,0.0,6.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,0.0,0.0,0.0,5.0,4.5,4.8,3.0
oats,46.25,-62.25,1994,61.5,207.0,6.0,5.0,4.0,4.0,7.0,0.0,6.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,0.0,0.0,0.0,5.0,4.5,4.8,3.0
