"loc (lat,lon)",time,lat,lon,CWD,WW,CDD,CSDI,WSDI,CFD,CSU
"42.25,-124.25",2008-01-16,42.25,-124.25,25.0,6.0,11.0,0.0,0.0,3.0,0.0
"42.25,-123.75",2008-01-16,42.25,-123.75,12.0,9.0,11.0,0.0,0.0,7.0,0.0
"42.25,-123.25",2008-01-16,42.25,-123.25,12.0,8.0,11.0,0.0,0.0,8.0,0.0
"42.25,-122.75",2008-01-16,42.25,-122.75,11.0,6.0,13.0,0.0,0.0,24.0,0.0
"42.25,-122.25",2008-01-16,42.25,-122.25,8.0,6.0,14.0,0.0,0.0,26.0,0.0
"42.25,-121.75",2008-01-16,42.25,-121.75,6.0,6.0,14.0,0.0,0.0,43.0,0.0
"42.25,-121.25",2008-01-16,42.25,-121.25,6.0,7.0,14.0,0.0,0.0,49.0,0.0
"42.25,-120.75",2008-01-16,42.25,-120.75,6.0,7.0,14.0,0.0,0.0,67.0,0.0
"42.25,-120.25",2008-01-16,42.25,-120.25,6.0,7.0,14.0,0.0,0.0,67.0,0.0
"42.25,-119.75",2008-01-16,42.25,-119.75,6.0,7.0,14.0,0.0,0.0,54.0,0.0
"42.25,-124.25",2008-04-16,42.25,-124.25,26.0,3.0,15.0,6.0,0.0,1.0,6.0
"42.25,-123.75",2008-04-16,42.25,-123.75,26.0,2.0,15.0,0.0,0.0,3.0,9.0
"42.25,-123.25",2008-04-16,42.25,-123.25,15.0,2.0,22.0,0.0,9.0,4.0,9.0
"42.25,-122.75",2008-04-16,42.25,-122.75,12.0,3.0,22.0,0.0,9.0,4.0,9.0
"42.25,-122.25",2008-04-16,42.25,-122.25,12.0,3.0,22.0,0.0,6.0,7.0,8.0
"42.25,-121.75",2008-04-16,42.25,-121.75,12.0,3.0,27.0,0.0,8.0,7.0,8.0
"42.25,-121.25",2008-04-16,42.25,-121.25,12.0,2.0,27.0,0.0,8.0,7.0,8.0
"42.25,-120.75",2008-04-16,42.25,-120.75,11.0,3.0,27.0,0.0,8.0,12.0,8.0
"42.25,-120.25",2008-04-16,42.25,-120.25,11.0,3.0,11.0,0.0,8.0,12.0,8.0
"42.25,-119.75",2008-04-16,42.25,-119.75,11.0,3.0,11.0,0.0,8.0,12.0,8.0
"42.25,-124.25",2008-07-16,42.25,-124.25,3.0,0.0,57.0,0.0,6.0,0.0,11.0
"42.25,-123.75",2008-07-16,42.25,-123.75,2.0,0.0,57.0,0.0,8.0,0.0,20.0
"42.25,-123.25",2008-07-16,42.25,-123.25,2.0,0.0,57.0,0.0,8.0,0.0,35.0
"42.25,-122.75",2008-07-16,42.25,-122.75,2.0,0.0,57.0,0.0,8.0,0.0,35.0
"42.25,-122.25",2008-07-16,42.25,-122.25,3.0,0.0,86.0,0.0,8.0,2.0,21.0
"42.25,-121.75",2008-07-16,42.25,-121.75,3.0,0.0,86.0,0.0,8.0,1.0,35.0
"42.25,-121.25",2008-07-16,42.25,-121.25,4.0,0.0,88.0,0.0,18.0,2.0,35.0
"42.25,-120.75",2008-07-16,42.25,-120.75,4.0,0.0,75.0,0.0,17.0,2.0,35.0
"42.25,-120.25",2008-07-16,42.25,-120.25,4.0,1.0,75.0,0.0,17.0,2.0,57.0
"42.25,-119.75",2008-07-16,42.25,-119.75,4.0,1.0,75.0,0.0,17.0,1.0,57.0
"42.25,-124.25",2008-10-16,42.25,-124.25,9.0,2.0,24.0,0.0,0.0,0.0,16.0
"42.25,-123.75",2008-10-16,42.25,-123.75,9.0,3.0,24.0,0.0,0.0,5.0,16.0
